Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,DEPI-283,10674,OrangeHRM - Account Number Field Accepts Alphabetic Characters,mazen gamer11,712020:8fc32277-1786-41e5-8f99-547b591806ad,mazen gamer11,712020:8fc32277-1786-41e5-8f99-547b591806ad,Highest,To Do,,04/May/25 3:20 AM,04/May/25 3:20 AM,
Bug,DEPI-281,10670,OrangeHRM - Manage Payroll - Verify Cancel Button Functionality,mazen gamer11,712020:8fc32277-1786-41e5-8f99-547b591806ad,mazen gamer11,712020:8fc32277-1786-41e5-8f99-547b591806ad,High,To Do,,04/May/25 2:50 AM,04/May/25 2:50 AM,
Bug,DEPI-279,10666,Orange HRM – Manage Payroll – System allows duplicate salary components for same employee Priority: Highest,mazen gamer11,712020:8fc32277-1786-41e5-8f99-547b591806ad,mazen gamer11,712020:8fc32277-1786-41e5-8f99-547b591806ad,Highest,To Do,,04/May/25 2:32 AM,04/May/25 2:32 AM,
Bug,DEPI-201,10356, Orange HRM - View Employee Records: Unstable List of All Employees,Kareem gomaa,712020:8d589632-9285-4ed8-9aa9-fb48f16d0e82,Kareem gomaa,712020:8d589632-9285-4ed8-9aa9-fb48f16d0e82,High,To Do,,11/Apr/25 9:47 PM,04/May/25 9:33 AM,
Bug,DEPI-190,10345,Orange HRM - View Employee Records: Search and Filter Functionality,Kareem gomaa,712020:8d589632-9285-4ed8-9aa9-fb48f16d0e82,Kareem gomaa,712020:8d589632-9285-4ed8-9aa9-fb48f16d0e82,High,To Do,,11/Apr/25 9:19 PM,04/May/25 9:04 PM,
Bug,DEPI-186,10341,Orange HRM - Logout Functionality: Session Expiration,Kareem gomaa,712020:8d589632-9285-4ed8-9aa9-fb48f16d0e82,Kareem gomaa,712020:8d589632-9285-4ed8-9aa9-fb48f16d0e82,High,To Do,,11/Apr/25 8:46 PM,04/May/25 10:05 PM,
